콘텐츠ID,콘텐츠분류,제목,언어,타이틀SEO,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크URL,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,PC사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문PC사용여부,중문PC사용여부,일문PC사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,SNS공유수,인기점수,등록일시_1,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지SEO자동여부,영문페이지SEO자동여부,중문페이지SEO자동여부,일문페이지SEO자동여부,사진공유수,번체PC사용여부,말레이어PC사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체SEO자동여부,말레이어SEO자동여부
CNTS_000000000021903,숙박,해피펜션,국문,해피펜션,,제주특별자치도 제주시 외도2동 317-1,제주특별자치도 제주시 월대1길 4,33.49411,126.43378,y,,blog.naver.com/happycho25,759,,0,0,1,0,0,y,y,y,y,y,2019-11-20,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-04-25,anonymous,2022-03-19,0,1518,13355821,63068,n,2017-04-25,2017-04-25,2017-04-25,2017-04-25,y,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501391,음식점,탐라 뚝배기,국문,탐라 뚝배기,,제주특별자치도 서귀포시 표선면 표선리 879,제주특별자치도 서귀포시 표선면 표선백사로 127,33.32677,126.83669,y,,,2569,,0,0,11,0,0,y,y,y,y,y,2019-09-11,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-11,2019-09-11,2019-09-11,anonymous,2016-05-30,anonymous,2022-03-18,1,5138,9260635,63629,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-09-11,,2019-09-11,,y,
CONT_000000000501399,음식점,토담골,국문,토담골,,제주특별자치도 제주시 아라이동 2425,제주특별자치도 제주시 간월동로 5,33.4859043,126.5434964,y,,,1452,,0,0,4,0,0,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-09,2019-09-09,2019-09-09,anonymous,2016-05-30,anonymous,2022-03-22,0,2904,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_000000000018301,음식점,우유부단,국문,우유부단,,제주특별자치도 제주시 한림읍 금악리 142-2,제주특별자치도 제주시 한림읍 금악동길 38,33.34764,126.32826,y,5,,19738,,10,38,225,0,1,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,n,n,n,y,y,y,2018-12-05,2018-12-05,2018-12-05,anonymous,2016-10-06,anonymous,2022-03-22,5,39696,10716980,63021,n,2016-10-06,2016-10-06,2016-10-06,2016-10-06,y,n,n,n,51,y,,y,,n,,y,,,,2019-02-25,,n,
CNTS_000000000020277,관광지,공천포,국문,공천포,,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.26769,126.645996,y,4,,3850,,0,9,19,0,0,y,y,y,y,y,2019-07-15,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-16,anonymous,2022-03-22,1,7745,,,n,2016-11-16,2016-11-16,2016-11-16,2016-11-16,y,n,n,n,18,,,,,,,,,,,,,,
CNTS_000000000022057,음식점,명당양과,국문,명당양과,,제주시 원노형로 83,제주시 원노형로 83,33.481274,126.48501,y,5,https://www.facebook.com/mdang1980/,10153,,20,9,59,0,0,y,y,y,y,y,2018-11-02,y,y,y,y,y,y,y,y,y,y,y,y,2018-11-02,2018-11-06,2018-11-02,anonymous,2017-07-04,anonymous,2022-03-22,6,20411,9378615,,n,2017-07-04,2018-11-02,2018-11-02,2018-11-02,y,y,y,y,,y,,y,,y,,y,,,,2019-02-25,,y,
CONT_000000000500553,관광지,제주민속촌,국문,제주민속촌,,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.32226,126.84201,y,5,,47560,,6,36,449,0,3,y,y,y,y,y,2019-09-03,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-03,2019-09-03,2019-09-03,anonymous,2016-05-30,anonymous,2022-03-22,14,95318,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,69,y,y,y,y,y,y,y,y,2019-09-03,2019-09-03,2019-09-03,2019-09-03,y,y
CONT_000000000500556,관광지,제주빅볼랜드,국문,제주빅볼랜드,,제주특별자치도 제주시 애월읍 어음리 산 3,제주특별자치도 제주시 애월읍 산록서로 15,33.3659432,126.35644,y,5,,36634,,4,2,154,0,1,y,y,y,y,y,2019-07-22,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-03-22,25,73290,,63041,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-07-22,,2019-07-22,,y,
CONT_000000000500180,관광지,마오름(맞보기)(안덕),국문,마오름(맞보기)(안덕),,제주특별자치도 서귀포시 안덕면 산록남로,제주특별자치도 서귀포시 안덕면 산록남로,33.325733,126.40013,y,,,900,,0,0,0,0,0,y,y,n,y,y,2019-07-22,y,y,y,y,y,y,n,n,n,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-02-14,0,1800,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-22,,2019-07-22,,y,
CNTS_000000000020390,숙박,빠담빠담게스트하우스,국문,빠담빠담게스트하우스,,제주특별자치도 서귀포시 표선면 표선리 2093,제주특별자치도 서귀포시 표선면 돈오름로 198-4,33.329624,126.81827,y,5,,3789,,1,5,2,0,0,y,y,y,y,y,2019-06-26,y,y,y,y,y,y,y,y,y,y,y,y,,,,anonymous,2016-11-18,anonymous,2022-03-22,0,7606,8705742,,n,2016-11-18,2016-11-18,2016-11-18,2016-11-18,y,n,y,y,3,y,,y,,y,,y,,,,2020-08-31,,y,
CNTS_000000000020657,음식점,땅꼬분식 뷔페,국문,땅꼬분식 뷔페,,제주특별자치도 제주시 조천읍 조천리 686-2,제주특별자치도 제주시 조천읍 조천18길 50-9,33.537205,126.645424,y,3,,3850,,0,1,14,0,0,y,y,y,y,y,2019-09-09,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-24,anonymous,2022-03-22,2,7705,,,n,2016-11-24,2016-11-24,2016-11-24,2016-11-24,y,n,n,n,1,,,,,,,,,,,,,,
CONT_000000000500055,관광지,"과오름(큰오름, 샛오름, 말젯오름)",국문,"과오름(큰오름, 샛오름, 말젯오름)",,제주특별자치도 제주시 애월읍 곽지리 산 1,제주특별자치도 제주시 애월읍 곽지리 산 1,33.44657762,126.3238801,y,,,2279,,0,0,1,0,0,y,y,n,y,y,2019-07-22,y,y,y,y,y,y,n,n,n,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-02-14,1,4558,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-22,,2019-07-22,,y,
CNTS_000000000020685,관광지,제주월드21(철거),국문,제주월드21,,제주특별자치도 제주시 건입동 1442,제주특별자치도 제주시 임항로 17,33.51673,126.52715,y,3,,12570,,3,2,41,0,0,y,y,n,y,y,2019-07-24,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-25,anonymous,2022-03-22,5,25159,,63276,n,2016-11-25,2016-11-25,2016-11-25,2016-11-25,n,n,n,n,2,,,,,,,,,,,,,,
CNTS_000000000020690,숙박,골든튤립호텔,국문,골든튤립호텔,,제주특별자치도 제주시 조천읍 함덕리 1269-19,제주특별자치도 제주시 조천읍 조함해안로 504,33.54239,126.66692,y,5,,116,,0,2,1,0,0,y,y,y,m,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-25,anonymous,2022-03-22,0,242,,63333,n,2016-11-25,2016-11-25,2016-11-25,2016-11-25,n,n,n,n,4,,,,,,,,,,,,,,
CNTS_000000000021957,테마여행,제주로 디톡스하자 <‘수고했어 오늘도’ 나에게 주는 쉼의 선물>,국문,제주로 디톡스하자 <‘수고했어 오늘도’ 나에게 주는 쉼의 선물>,,,,0,0,y,5,,10984,,4,1,3,0,0,y,y,y,y,y,,y,y,y,y,y,y,y,y,y,y,y,y,,2019-02-27,,anonymous,2017-05-25,anonymous,2022-03-22,0,21985,,,n,2017-05-25,2017-05-25,2017-05-25,2017-05-25,n,n,n,n,,y,y,y,y,y,y,y,y,2019-02-27,2019-02-14,2019-02-27,2019-02-14,n,n
CNTS_000000000022197,축제/행사,금능 원담축제,국문,금능 원담축제,,제주특별자치도 제주시 한림읍 금능리 2026,제주특별자치도 제주시 한림읍 금능길 119-10,33.3899345,126.2278777,y,5,,5486,,0,4,2,0,4,y,y,y,y,y,2019-07-19,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-19,2019-07-19,2019-07-19,anonymous,2017-07-25,anonymous,2022-03-22,11,10992,,63010,n,2017-07-25,2017-07-25,2017-07-25,2017-07-25,y,y,y,y,,y,,y,,y,,y,,2019-07-19,,2019-07-19,,y,
CNTS_000000000022247,숙박,쇠소깍올레민박,국문,쇠소깍올레민박,,제주특별자치도 서귀포시 하효동 236-2,제주특별자치도 서귀포시 효돈로204번길 23,33.2623726,126.6188522,y,,,941,,0,0,0,0,0,y,y,y,y,y,2019-11-21,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-07-28,anonymous,2022-03-22,0,1882,,,n,2017-07-28,2017-07-28,2017-07-28,2017-07-28,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000018317,음식점,쉬림프박스,국문,쉬림프박스,,   2033-7,   2033-7,33.499622,126.53119,y,4,http://instagram.com/shrimp_box_jeju,7612,,2,15,107,0,0,y,y,y,y,y,2019-09-09,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-10-06,anonymous,2022-03-22,0,15305,,,n,2016-10-06,2016-10-06,2016-10-06,2016-10-06,y,n,n,n,20,,,,,,,,,,,,,,
CONT_000000000501366,음식점,좀녀마을뚝배기,국문,좀녀마을뚝배기,,제주특별자치도 제주시 연동 303-45,제주특별자치도 제주시 은남길 25,33.48737,126.495964,y,,,3866,,0,0,35,0,0,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,n,n,y,y,y,y,,,2019-09-09,anonymous,2016-05-30,anonymous,2022-03-19,0,7732,,63123,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,n,n,y,,y,,y,,n,,y,,,,2019-02-25,,n,
CONT_000000000500401,관광지,신양해안도로,국문,신양해안도로,,제주특별자치도 서귀포시 성산읍 신고로,제주특별자치도 서귀포시 성산읍 신고로,33.431046,126.91553,y,,,3812,,2,0,38,0,0,y,y,y,y,y,2019-07-22,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-03-21,0,7630,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-07-22,,2019-07-22,,y,
CONT_000000000501069,숙박,제주필하우스,국문,제주필하우스,,제주특별자치도 제주시 조천읍 북촌리 1586-1,제주특별자치도 제주시 조천읍 일주동로 1415,33.545048,126.68642,y,,,1176,,0,0,0,0,0,y,y,y,y,y,2019-11-22,y,y,y,y,y,y,y,y,y,y,y,y,2019-11-22,2019-11-22,2019-11-22,anonymous,2016-05-30,anonymous,2022-03-19,0,2352,7257403,63339,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-22,,2019-11-22,,y,
CONT_000000000501409,음식점,하와이새우트럭,국문,하와이새우트럭,,제주특별자치도 제주시 노형동 3792-5,제주특별자치도 제주시 노형13길 16,33.482337,126.478375,y,5,,2476,,0,1,28,0,0,y,y,y,y,y,2018-12-12,y,y,y,y,y,y,y,y,y,y,y,y,2018-12-12,2018-12-12,2018-12-12,anonymous,2016-05-30,anonymous,2022-03-22,0,4957,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,2,y,,y,,y,,y,,,,2019-02-25,,n,
CONT_000000000501179,음식점,길벗식당,국문,길벗식당,,제주특별자치도 제주시 노형동 1020-2,제주특별자치도 제주시 월광로 162,33.4925136,126.4750372,y,,,1408,,0,0,5,0,0,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,n,n,y,y,y,y,,,,anonymous,2016-05-30,anonymous,2022-03-21,0,2816,9247742,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,n,n,n,,y,,y,,n,,y,,,,2019-02-25,,n,
CONT_000000000501194,음식점,다래향,국문,다래향,,제주특별자치도 제주시 조천읍 함덕리 3132-1,제주특별자치도 제주시 조천읍 조함해안로 428-4,33.5457967,126.6607519,y,4,,3651,,0,2,12,0,0,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-09,2019-09-09,2019-09-09,anonymous,2016-05-30,anonymous,2022-03-22,0,7312,8994464,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,3,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_200000000012527,테마여행,JEJU ISLAND’S CULTURE OF STONE,영문,JEJU ISLAND’S CULTURE OF STONE,,,,,,y,0,,166,,0,0,0,0,0,,,,m,y,,y,y,y,y,y,y,y,y,y,y,y,y,2021-12-28,2022-01-24,2022-01-26,jto0900045,2021-12-28,jto0900045,2022-03-22,0,332,,,n,,2021-12-28,2022-01-24,2022-01-26,n,y,y,y,0,y,,y,m,y,,y,,,,2022-02-16,,y,n
CONT_000000000500846,숙박,라메종베니 두지엠,국문,라메종베니 두지엠,,제주특별자치도 서귀포시 성산읍 환해장성로 925,제주특별자치도 서귀포시 성산읍 환해장성로 925,33.43353,126.915726,y,,blog.naver.com/ghostface78,1236,,0,0,0,0,0,y,y,y,m,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-05-30,anonymous,2022-02-14,0,2472,7954610,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,n,n,n,n,,y,,m,,y,,y,,,,2019-02-25,,n,
CONT_000000000500857,숙박,로즈비치,국문,로즈비치,,제주특별자치도 제주시 조천읍 신흥리 874,제주특별자치도 제주시 조천읍 조함해안로 162,33.5447774,126.650164,y,,,1690,,0,0,0,0,0,y,y,y,y,y,2019-11-22,y,y,y,y,y,y,y,y,y,y,y,y,2019-11-22,2019-11-22,2019-11-22,anonymous,2016-05-30,anonymous,2022-03-22,0,3380,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,y,,y,,2019-11-22,,2019-11-22,,y,
CNTS_000000000021907,축제/행사,방선문축제,국문,방선문 축제,,제주특별자치도 제주시 오라2동 3819-11,제주시 오라동 방선문계곡,33.464767,126.51687,y,,,8188,,1,0,1,0,0,y,y,y,y,y,2019-04-24,y,y,y,y,y,y,y,y,y,y,y,y,2019-04-24,2019-04-24,2019-04-24,anonymous,2017-04-27,anonymous,2022-03-22,7,16379,,,n,2017-04-27,2019-04-24,2019-04-24,2019-04-24,n,n,n,n,,y,,y,,y,,y,,2019-04-24,,2019-04-24,,n,
CNTS_000000000022620,축제/행사,평화의 섬 제주 아트의 섬이 되다,국문,평화의 섬 제주 아트의 섬이 되다,,제주특별자치도 제주시 조천읍 선흘리 478,제주특별자치도 제주시 조천읍 선교로 569-36,33.45703,126.7143,y,,,340,,0,0,0,0,0,y,y,n,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-09-29,anonymous,2022-02-14,0,680,,63341,n,2017-09-29,2017-09-29,2017-09-29,2017-09-29,n,n,n,n,,,,,,,,,,,,,,,
CONT_000000000500260,관광지,너븐숭이 4.3기념관,국문,너븐숭이 4.3기념관,,제주특별자치도 제주시 조천읍 북촌리 1599,제주특별자치도 제주시 조천읍 북촌3길 3,33.545986,126.68877,y,5,,32371,,9,40,64,0,1,y,y,y,y,y,2019-01-08,y,y,y,y,y,y,y,y,y,y,y,y,,,2019-11-27,anonymous,2016-05-30,anonymous,2022-03-22,12,64969,13002016,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,45,y,,y,,y,,y,,,,2020-08-20,,y,
CNTS_000000000020802,숙박,비비엔다,국문,비비엔다,,제주특별자치도 제주시 구좌읍 세화리 18,제주특별자치도 제주시 구좌읍 세화11길 18,33.522514,126.86111,y,3,,1277,,0,1,1,0,0,y,y,y,y,y,2019-11-28,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-30,anonymous,2022-03-22,1,2559,,63361,n,2016-11-30,2016-11-30,2016-11-30,2016-11-30,y,n,n,n,1,,,,,,,,,,,,,,
CONT_000000000500232,관광지,백약이오름,국문,백약이오름,,제주특별자치도 서귀포시 표선면 성읍리 산 1,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.437283,126.79018,y,5,,62704,,5,57,237,0,1,y,y,y,y,y,2019-07-22,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-22,2019-07-22,2019-07-22,anonymous,2016-05-30,anonymous,2022-03-22,32,125708,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,109,y,y,y,y,y,y,y,y,2019-07-22,2019-07-22,2019-07-22,2019-07-22,y,y
CONT_000000000501216,음식점,돌하르방식당,국문,돌하르방식당,,제주특별자치도 제주시 한림읍 협재리 2487,제주특별자치도 제주시 한림읍 한림로 300,33.3879944,126.2397837,y,5,,4841,,0,1,25,0,0,y,y,y,y,y,2019-09-09,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-09,2019-09-09,2019-09-09,anonymous,2016-05-30,anonymous,2022-03-22,0,9687,9246820,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,3,y,,y,,y,,y,,2019-09-09,,2019-09-09,,y,
CNTS_000000000022790,테마여행,"(영특)겨울제주짜릿한 액티비티여행(인도네시아, 필리핀)",국문,"(영특)겨울제주짜릿한 액티비티여행(인도네시아, 필리핀)",,,,0,0,y,,,4364,,0,0,0,0,0,y,y,n,y,y,,y,y,y,y,m,m,y,y,y,y,y,y,,,,anonymous,2018-01-31,anonymous,2022-03-22,0,8728,,,n,2018-01-31,2018-01-31,2018-01-31,2018-01-31,n,n,n,n,,,y,,y,,y,,y,,2019-02-18,,2019-02-18,,n
CNTS_000000000022261,음식점,킨포크,국문,킨포크,,제주특별자치도 제주시 노형동 3803-17,제주특별자치도 제주시 노형3길 8,33.483097,126.477234,y,,,1476,,0,0,1,0,0,y,y,y,y,y,2019-09-11,y,y,y,y,y,y,y,y,y,y,y,y,2019-09-11,2019-09-11,2019-09-11,anonymous,2017-07-31,anonymous,2022-03-21,0,2952,,63088,n,2017-07-31,2017-07-31,2017-07-31,2017-07-31,y,y,y,y,,y,,y,,y,,y,,2019-09-11,,2019-09-11,,y,
CNTS_000000000022263,음식점,키스더티라미수,국문,키스더티라미수,,제주특별자치도 제주시 애월읍 고내리 473,제주특별자치도 제주시 애월읍 애월해안로 274,33.46854,126.34041,y,,,539,,0,0,0,0,0,y,y,n,m,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-07-31,anonymous,2022-02-14,0,1078,,63046,n,2017-07-31,2017-07-31,2017-07-31,2017-07-31,n,n,n,n,,y,,m,,y,,y,,,,2019-02-25,,n,
CNTS_000000000022282,관광지,디스커버제주,국문,디스커버제주,,제주특별자치도 서귀포시 대포동 760-3,제주특별자치도 서귀포시 대포로 26,33.2435151,126.4352216,y,,,9651,,1,0,29,0,0,y,y,y,y,y,2019-08-12,y,y,y,y,y,y,y,y,n,y,y,y,2019-08-12,2019-08-12,2019-07-24,anonymous,2017-08-01,anonymous,2022-03-21,1,19305,,,n,2017-08-01,2019-08-12,2017-08-01,2017-08-01,y,y,y,y,,y,,y,,y,,y,,2019-08-12,,2019-08-12,,y,
CONT_000000000500058,관광지,"광이오름 (괭이오름, 肝列岳)",국문,"광이오름 (괭이오름, 肝列岳)",,제주특별자치도 제주시 연동 산 62,제주특별자치도 제주시 연동 산 62,33.46847099,126.4950638,y,,,2661,,0,0,0,0,0,y,y,n,y,y,2019-07-12,y,y,y,y,y,y,n,n,n,y,y,y,2019-07-23,2019-07-23,2019-07-23,anonymous,2016-05-30,anonymous,2022-02-14,0,5322,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-23,,2019-07-23,,y,
CNTS_000000000019089,관광지,오름터 민속마을,국문,오름터 민속마을,,제주특별자치도 서귀포시 표선면 성읍리 599-1,제주특별자치도 서귀포시 표선면 성읍정의현로 99,33.391445,126.80072,y,,,4404,,1,0,19,0,0,y,y,y,y,y,2019-07-12,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-23,2019-07-23,2019-07-23,anonymous,2016-10-19,anonymous,2022-03-21,0,8811,,63624,n,2016-10-19,2016-10-19,2016-10-19,2016-10-19,y,y,y,y,,y,,y,,y,,y,,2019-07-23,,2019-07-23,,y,
CONT_000000000500560,관광지,제주승마공원,국문,제주승마공원,,제주특별자치도 제주시 애월읍 녹고메길 152-1,제주특별자치도 제주시 애월읍 녹고메길 152-1,33.405148,126.40689,y,5,jhrp.alltheway.kr/,18962,,1,1,54,0,0,y,y,y,y,y,2019-12-19,y,y,y,y,y,y,y,y,y,y,y,y,2019-12-19,2019-12-19,2019-12-20,anonymous,2016-05-30,anonymous,2022-03-22,28,37932,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,y,y,y,y,y,y,y,2019-12-19,2019-12-19,2019-02-25,2019-12-19,y,y
CONT_000000000500564,관광지,제주실탄사격장,국문,제주실탄사격장,,제주특별자치도 서귀포시 상예동 2802,제주특별자치도 서귀포시 소보리당로 164번길 62(상예동),33.2639753,126.3852041,y,5,,75288,,6,3,121,0,0,y,y,y,y,y,2019-07-24,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-24,2019-07-24,2019-07-24,anonymous,2016-05-30,anonymous,2022-03-22,78,150609,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,7,y,,y,,y,,y,,2019-07-24,,2019-07-24,,y,
CNTS_000000000021969,숙박,동막골게스트하우스,국문,동막골게스트하우스,,제주특별자치도 서귀포시 안덕면 덕수리 190,제주특별자치도 서귀포시 안덕면 서광서문로 55-7,33.28357,126.323204,y,,,1129,,0,0,1,0,0,y,y,y,y,y,2019-06-21,y,y,y,y,y,y,y,y,y,y,y,y,,,,anonymous,2017-06-02,anonymous,2022-03-20,0,2258,,63527,n,2017-06-02,2017-06-02,2017-06-02,2017-06-02,n,n,n,n,,y,,y,,y,,y,,,,2019-02-25,,n,
CNTS_000000000021986,음식점,함덕밀면,국문,함덕밀면,,제주특별자치도 제주시 조천읍 함덕리 960,제주특별자치도 제주시 조천읍 신북로 566,33.5402349,126.6700387,y,,,2835,,1,0,18,0,0,y,y,y,y,y,2019-10-02,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-06-13,anonymous,2022-03-21,0,5673,,,n,2017-06-13,2017-06-13,2017-06-13,2017-06-13,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022800,축제/행사,"제주민속촌, 봄맞이 초가지붕 잇기 한창",국문,"제주민속촌, 봄맞이 초가지붕 잇기 한창",,제주특별자치도 제주시 삼도2동 1045-1,제주특별자치도 제주시 관덕로 25,33.513855,126.521774,y,5,,323,,0,3,0,0,4,y,y,n,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2018-02-12,anonymous,2022-03-22,0,651,,63166,n,2018-02-12,2018-02-12,2018-02-12,2018-02-12,n,n,n,n,,,,,,,,,,,,,,,
CONT_000000000501163,음식점,골막식당,국문,골막식당,,제주특별자치도 제주시 이도이동 362-1,제주특별자치도 제주시 천수로 12,33.5024655,126.5384668,y,5,,4769,,2,2,44,0,0,y,y,y,y,y,2019-10-02,y,y,y,y,y,y,y,y,y,y,y,y,2019-10-02,2019-10-02,2019-10-02,anonymous,2016-05-30,anonymous,2022-03-22,4,9554,4034095,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,1,y,,y,,y,,y,,2019-10-02,,2019-10-02,,y,
CONT_000000000500323,관광지,서귀포 축구공원,국문,서귀포 축구공원,,제주특별자치도 서귀포시 신효동 910,제주특별자치도 서귀포시 효돈순환로 311-29,33.2588393,126.6105252,y,,,1372,,0,0,1,0,0,y,y,n,y,y,2019-07-24,y,y,y,y,y,y,n,n,n,y,y,y,2019-07-24,2019-07-24,2019-07-24,anonymous,2016-05-30,anonymous,2022-02-14,3,2744,,,n,2016-05-30,2016-05-30,2016-05-30,2016-05-30,y,y,y,y,,y,,y,,n,,y,,2019-07-24,,2019-07-24,,y,
CNTS_000000000019613,관광지,제주카약,국문,제주카약,,제주특별자치도 제주시 조천읍 함덕리 207-1,제주특별자치도 제주시 조천읍 평사길 19,33.5437998,126.6739948,y,,,8674,,3,0,53,0,0,y,y,y,y,y,2019-07-24,y,y,y,y,y,y,y,y,y,y,y,y,2019-07-24,2019-07-24,2019-07-24,anonymous,2016-10-25,anonymous,2022-03-22,3,17357,,,n,2016-10-25,2016-10-25,2016-10-25,2016-10-25,y,y,y,y,,y,,y,,y,,y,,2019-07-24,,2019-07-24,,y,
CNTS_000000000022624,숙박,제주베스트힐 펜션&글램핑,국문,제주베스트힐 펜션&글램핑,,제주특별자치도 제주시 조천읍 교래리 786-31,제주특별자치도 제주시 조천읍 남조로 2109-36,33.4276176,126.6665803,y,,,2605,,1,0,0,0,0,y,y,y,y,y,2019-12-02,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-09-29,anonymous,2022-03-21,0,5213,,,n,2017-09-29,2017-09-29,2017-09-29,2017-09-29,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000020492,음식점,늘봄흑돼지,국문,늘봄흑돼지,,제주특별자치도 제주시 노형동 2343-3,제주특별자치도 제주시 한라대학로 12,33.4792895,126.4728779,y,5,http://www.instagram.com/neulbom.jeju,6785,,3,4,48,0,1,y,y,y,y,y,2019-10-02,y,y,y,y,y,y,y,y,y,y,y,y,2019-10-02,2019-10-02,2019-10-02,anonymous,2016-11-22,anonymous,2022-03-22,1,13599,8939025,,n,2016-11-22,2016-11-22,2016-11-22,2016-11-22,y,y,y,y,3,y,,y,,y,,y,,2019-10-02,,2019-10-02,,y,
CNTS_000000000020301,관광지,클럽나인브릿지,국문,클럽나인브릿지,,제주특별자치도 서귀포시 안덕면 광평리 산 15,제주특별자치도 서귀포시 안덕면 광평로 34-156,33.3420536,126.4046382,y,5,,1728,,0,2,3,0,0,y,y,y,y,y,2019-07-25,y,y,y,t,t,t,y,y,y,y,y,y,,,,anonymous,2016-11-17,anonymous,2022-03-22,0,3466,,,n,2016-11-17,2016-11-17,2016-11-17,2016-11-17,y,n,n,n,3,y,,t,,y,,y,,,,2019-02-25,,n,
